,code,name,pre_close,volunit,decimal_point
0,395001,主板Ａ股,1467.0,100.0,2.0
1,395002,主板Ｂ股,224.0,100.0,2.0
2,395004,创业板,976.0,100.0,2.0
3,395005,主板DR,5.877471754111438e-39,100.0,2.0
4,395006,创业板DR,5.877471754111438e-39,100.0,2.0
5,395011,封闭基金,32768.5,100.0,2.0
6,395012,ＬＯＦｓ,309.0,100.0,2.0
7,395013,ＥＴＦｓ,160.0,100.0,2.0
8,395015,REITS,8194.0,100.0,2.0
9,395021,可 转 债,224.0,100.0,2.0
10,395022,企业债,112.0,100.0,2.0
11,395024,公司债,827.0,100.0,2.0
12,395031,国债,6056.0,100.0,2.0
13,395032,债券回购,264.0,100.0,2.0
14,395041,股票权证,5.877471754111438e-39,100.0,2.0
15,395099,总 成 交,2487.0,100.0,2.0
16,399001,深证成指,14999.7978515625,100.0,2.0
17,399002,深成指R,18722.224609375,100.0,2.0
18,399003,成份Ｂ指,7955.9267578125,100.0,2.0
19,399004,深证100R,9448.8037109375,100.0,2.0
20,399005,中小100,9823.44140625,100.0,2.0
21,399006,创业板指,3406.23779296875,100.0,2.0
22,399007,深证300,6592.74755859375,100.0,2.0
23,399008,中小300,1797.61083984375,100.0,2.0
24,399009,深证200,5270.37548828125,100.0,2.0
25,399010,深证700,7272.8681640625,100.0,2.0
26,399011,深证1000,6875.99853515625,100.0,2.0
27,399012,创业300,4440.91015625,100.0,2.0
28,399013,深市精选,6253.42626953125,100.0,2.0
29,399015,中小创新,2362.8076171875,100.0,2.0
30,399016,深证创新,4701.90966796875,100.0,2.0
31,399017,SME创新,3834.673583984375,100.0,2.0
32,399018,创业创新,5051.41455078125,100.0,2.0
33,399050,创新引擎,3528.775634765625,100.0,2.0
34,399088,深创100,5034.37890625,100.0,2.0
35,399100,新 指 数,11043.7099609375,100.0,2.0
36,399101,中小综指,13296.248046875,100.0,2.0
37,399102,创业板综,3478.245849609375,100.0,2.0
38,399103,乐富指数,8967.99609375,100.0,2.0
39,399106,深证综指,2441.2587890625,100.0,2.0
40,399107,深证Ａ指,2554.49609375,100.0,2.0
41,399108,深证Ｂ指,1186.7474365234375,100.0,2.0
42,399231,农林指数,1548.15869140625,100.0,2.0
43,399232,采矿指数,2125.018798828125,100.0,2.0
44,399233,制造指数,3068.850830078125,100.0,2.0
45,399234,水电指数,825.0982055664062,100.0,2.0
46,399235,建筑指数,1110.9158935546875,100.0,2.0
47,399236,批零指数,1469.8870849609375,100.0,2.0
48,399237,运输指数,1258.722900390625,100.0,2.0
49,399238,餐饮指数,1021.0772705078125,100.0,2.0
50,399239,IT指数,1818.51904296875,100.0,2.0
51,399240,金融指数,1464.0157470703125,100.0,2.0
52,399241,地产指数,2187.779052734375,100.0,2.0
53,399242,商务指数,1247.9501953125,100.0,2.0
54,399243,科研指数,2835.657958984375,100.0,2.0
55,399244,公共指数,706.0529174804688,100.0,2.0
56,399248,文化指数,980.682373046875,100.0,2.0
57,399249,综企指数,1598.8426513671875,100.0,2.0
58,399269,创质量,7199.5654296875,100.0,2.0
59,399275,创医药,7391.552734375,100.0,2.0
60,399276,创科技,7570.115234375,100.0,2.0
61,399277,公共健康,3998.26806640625,100.0,2.0
62,399278,长江100,2716.545166015625,100.0,2.0
63,399279,云科技50,3672.27978515625,100.0,2.0
64,399280,生物50,5198.64306640625,100.0,2.0
65,399281,电子50,4139.2294921875,100.0,2.0
66,399282,大数据50,4525.3349609375,100.0,2.0
67,399283,机器人50,3443.394287109375,100.0,2.0
68,399284,AI 50,3788.553466796875,100.0,2.0
69,399285,物联网50,4603.13623046875,100.0,2.0
70,399286,区块链50,3784.621826171875,100.0,2.0
71,399290,深转交债,154.69000244140625,100.0,2.0
72,399291,创精选88,4013.899169921875,100.0,2.0
73,399292,民企发展,1188.429931640625,100.0,2.0
74,399293,创业大盘,6858.291015625,100.0,2.0
75,399294,中小创Q,4338.39599609375,100.0,2.0
76,399295,创业蓝筹,7128.08984375,100.0,2.0
77,399296,创成长,8087.11376953125,100.0,2.0
78,399297,新浪100,3571.64599609375,100.0,2.0
79,399298,深信中高,182.91619873046875,100.0,2.0
80,399299,深信中低,206.89529418945312,100.0,2.0
81,399300,沪深300,5190.54443359375,100.0,2.0
82,399301,深信用债,186.1569061279297,100.0,2.0
83,399302,深公司债,190.64759826660156,100.0,2.0
84,399303,国证2000,7660.935546875,100.0,2.0
85,399306,深证ETF,1819.14697265625,100.0,2.0
86,399307,深证转债,278.0787048339844,100.0,2.0
87,399310,国证A50,8880.5185546875,100.0,2.0
88,399311,国证1000,5209.599609375,100.0,2.0
89,399312,国证300,6154.3837890625,100.0,2.0
90,399313,巨潮100,6186.18408203125,100.0,2.0
91,399314,巨潮大盘,5642.552734375,100.0,2.0
92,399315,巨潮中盘,4998.22509765625,100.0,2.0
93,399316,巨潮小盘,5280.74365234375,100.0,2.0
94,399317,国证Ａ指,6037.91650390625,100.0,2.0
95,399318,国证Ｂ指,4402.85888671875,100.0,2.0
96,399319,资源优势,1966.150390625,100.0,2.0
97,399320,国证服务,2373.2646484375,100.0,2.0
98,399321,国证红利,7620.52783203125,100.0,2.0
99,399322,国证治理,10998.228515625,100.0,2.0
100,399324,深证红利,12703.220703125,100.0,2.0
101,399326,成长40,8069.66455078125,100.0,2.0
102,399328,深证治理,14267.6044921875,100.0,2.0
103,399330,深证100,7227.36328125,100.0,2.0
104,399333,中小100R,11218.93359375,100.0,2.0
105,399335,深证央企,5034.56787109375,100.0,2.0
106,399337,深证民营,7069.34130859375,100.0,2.0
107,399339,深证科技,10178.2802734375,100.0,2.0
108,399341,深证责任,2446.980224609375,100.0,2.0
109,399344,深证300R,8059.7998046875,100.0,2.0
110,399346,深证成长,5693.38232421875,100.0,2.0
111,399348,深证价值,7284.03076171875,100.0,2.0
112,399350,皖江30,2740.317138671875,100.0,2.0
113,399351,创新示范,10906.6044921875,100.0,2.0
114,399352,深企综指,9664.6591796875,100.0,2.0
115,399353,国证物流,2517.1357421875,100.0,2.0
116,399354,分析师指,10072.8134765625,100.0,2.0
117,399355,长三角,4350.82177734375,100.0,2.0
118,399356,珠三角,12224.4853515625,100.0,2.0
119,399357,环渤海,3223.896240234375,100.0,2.0
120,399358,国证环保,6003.8505859375,100.0,2.0
121,399359,国证基建,2644.989501953125,100.0,2.0
122,399360,新硬件,4753.255859375,100.0,2.0
123,399361,在线消费,4477.07568359375,100.0,2.0
124,399362,民企100,10349.392578125,100.0,2.0
125,399363,云科技,5460.1123046875,100.0,2.0
126,399364,消费100,13083.2900390625,100.0,2.0
127,399365,国证农业,19897.525390625,100.0,2.0
128,399366,国证大宗,2619.48388671875,100.0,2.0
129,399367,1000地产,4581.35595703125,100.0,2.0
130,399368,国证军工,7884.7978515625,100.0,2.0
131,399369,国证责任,1956.483154296875,100.0,2.0
132,399370,国证成长,6573.55322265625,100.0,2.0
133,399371,国证价值,6515.16552734375,100.0,2.0
134,399372,大盘成长,7154.7119140625,100.0,2.0
135,399373,大盘价值,7758.4169921875,100.0,2.0
136,399374,中盘成长,6158.06494140625,100.0,2.0
137,399375,中盘价值,5534.5126953125,100.0,2.0
138,399376,小盘成长,6389.59912109375,100.0,2.0
139,399377,小盘价值,6570.53564453125,100.0,2.0
140,399378,ESG 300,3214.25146484375,100.0,2.0
141,399379,国证基金,9062.1748046875,100.0,2.0
142,399380,国证ETF,1801.3968505859375,100.0,2.0
143,399381,1000能源,2061.880859375,100.0,2.0
144,399382,1000材料,3361.004638671875,100.0,2.0
145,399383,1000工业,3100.89404296875,100.0,2.0
146,399384,1000可选,4648.1689453125,100.0,2.0
147,399385,1000消费,16786.439453125,100.0,2.0
148,399386,1000医药,11695.86328125,100.0,2.0
149,399387,1000金融,5209.70947265625,100.0,2.0
150,399388,1000信息,5770.82861328125,100.0,2.0
151,399389,国证通信,3395.301513671875,100.0,2.0
152,399390,1000公用,2125.373046875,100.0,2.0
153,399391,投资时钟,4097.1298828125,100.0,2.0
154,399392,国证新兴,3233.311279296875,100.0,2.0
155,399393,国证地产,4945.47607421875,100.0,2.0
156,399394,国证医药,18160.0078125,100.0,2.0
157,399395,国证有色,5475.337890625,100.0,2.0
158,399396,国证食品,33965.88671875,100.0,2.0
159,399397,国证文化,2528.492919921875,100.0,2.0
160,399398,绩效指数,13949.599609375,100.0,2.0
161,399399,中经GDP,8928.8330078125,100.0,2.0
162,399400,大中盘,4570.7421875,100.0,2.0
163,399401,中小盘,4669.33056640625,100.0,2.0
164,399402,周期100,3865.23583984375,100.0,2.0
165,399403,防御100,12149.181640625,100.0,2.0
166,399404,大盘低波,4870.37939453125,100.0,2.0
167,399405,大盘高贝,3096.5322265625,100.0,2.0
168,399406,中盘低波,12230.4541015625,100.0,2.0
169,399407,中盘高贝,3061.49365234375,100.0,2.0
170,399408,小盘低波,12069.7578125,100.0,2.0
171,399409,小盘高贝,4697.15087890625,100.0,2.0
172,399410,苏州率先,2415.64013671875,100.0,2.0
173,399411,红利100,3430.550537109375,100.0,2.0
174,399412,国证新能,3677.36865234375,100.0,2.0
175,399413,国证转债,142.2093963623047,100.0,2.0
176,399415,I100,8655.177734375,100.0,2.0
177,399416,I300,4602.470703125,100.0,2.0
178,399417,新能源车,4301.2578125,100.0,2.0
179,399418,国证国安,3899.070068359375,100.0,2.0
180,399419,国证高铁,1708.46435546875,100.0,2.0
181,399420,国证保证,1395.208251953125,100.0,2.0
182,399422,中关村A,3454.92529296875,100.0,2.0
183,399423,中关村50,3296.557373046875,100.0,2.0
184,399427,专利领先,3468.36181640625,100.0,2.0
185,399428,国证定增,3119.1142578125,100.0,2.0
186,399429,新丝路,1501.6519775390625,100.0,2.0
187,399431,国证银行,7107.298828125,100.0,2.0
188,399432,智能汽车,6832.95361328125,100.0,2.0
189,399433,国证交运,1872.541259765625,100.0,2.0
190,399434,国证传媒,1935.93994140625,100.0,2.0
191,399435,国证农牧,4964.29931640625,100.0,2.0
192,399436,国证煤炭,2985.972412109375,100.0,2.0
193,399437,证券龙头,6418.29931640625,100.0,2.0
194,399438,国证电力,1938.0908203125,100.0,2.0
195,399439,国证油气,1238.401123046875,100.0,2.0
196,399440,国证钢铁,1474.7359619140625,100.0,2.0
197,399441,生物医药,6346.38671875,100.0,2.0
198,399481,企债指数,127.52770233154297,100.0,2.0
199,399550,央视50,8621.2451171875,100.0,2.0
200,399551,央视创新,10179.2744140625,100.0,2.0
201,399552,央视成长,10155.984375,100.0,2.0
202,399553,央视回报,10325.982421875,100.0,2.0
203,399554,央视治理,8959.931640625,100.0,2.0
204,399555,央视责任,6031.9765625,100.0,2.0
205,399556,央视生态,3078.118896484375,100.0,2.0
206,399557,央视文化,2200.49267578125,100.0,2.0
207,399602,中小成长,1613.071533203125,100.0,2.0
208,399604,中小价值,2157.11572265625,100.0,2.0
209,399606,创业板R,3625.789794921875,100.0,2.0
210,399608,科技100,4290.40185546875,100.0,2.0
211,399610,TMT50,7786.9365234375,100.0,2.0
212,399611,中创100R,3613.564453125,100.0,2.0
213,399612,中创100,3234.15234375,100.0,2.0
214,399613,深证能源,3147.85009765625,100.0,2.0
215,399614,深证材料,3962.21484375,100.0,2.0
216,399615,深证工业,4279.0419921875,100.0,2.0
217,399616,深证可选,7044.27880859375,100.0,2.0
218,399617,深证消费,17512.390625,100.0,2.0
219,399618,深证医药,19140.7890625,100.0,2.0
220,399619,深证金融,7196.71630859375,100.0,2.0
221,399620,深证信息,5150.99169921875,100.0,2.0
222,399621,深证电信,3094.687744140625,100.0,2.0
223,399622,深证公用,1734.7354736328125,100.0,2.0
224,399623,中小基础,9607.9072265625,100.0,2.0
225,399624,中创400,2305.5703125,100.0,2.0
226,399625,中创500,2552.549560546875,100.0,2.0
227,399626,中创成长,2428.924560546875,100.0,2.0
228,399627,中创价值,2436.769287109375,100.0,2.0
229,399628,700成长,2108.385009765625,100.0,2.0
230,399629,700价值,2480.025390625,100.0,2.0
231,399630,1000成长,2099.6494140625,100.0,2.0
232,399631,1000价值,2347.414794921875,100.0,2.0
233,399632,深100EW,6598.31591796875,100.0,2.0
234,399633,深300EW,6629.33203125,100.0,2.0
235,399634,中小等权,4530.92919921875,100.0,2.0
236,399635,创业板EW,2549.339111328125,100.0,2.0
237,399636,深证装备,5136.50390625,100.0,2.0
238,399637,深证地产,3256.21484375,100.0,2.0
239,399638,深证环保,7074.181640625,100.0,2.0
240,399639,深证大宗,2522.66796875,100.0,2.0
241,399640,创业基础,2830.7138671875,100.0,2.0
242,399641,深证新兴,3007.135986328125,100.0,2.0
243,399642,中小新兴,2496.40771484375,100.0,2.0
244,399643,创业新兴,4032.00048828125,100.0,2.0
245,399644,深证时钟,4896.52978515625,100.0,2.0
246,399645,100低波,11388.2890625,100.0,2.0
